,location,domain_profile,company_name,about_the_work_from_home_job/internship,skill(s)_required,who_can_apply,perks,number_of_openings,company_details,start_date,duration,stipend,apply_by,applicants,other_requirements,about_the_internship,additional_information,is_part_time,about_part_time_job/internship
393,Work From Home,Mobile App Development,Samphion,"Responsibilities
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Requirements
Proven software development experience and Android skills development
Proven working experience in Android app development and
Have published at least one original Android app
Experience with Android SDK
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.","MySQL
MongoDB
Node.js
Amazon Web Services (AWS)","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 19th Jun'21 and 24th Jul'21
3. are available for duration of 1 month
4. have relevant skills and interests",Certificate,2,"Website;Samphion is a dating brand in the space of health and lifestyle. It aims to create a safe, fun, and reliable experience for users to preferred matches. Users can showcase their health and lifestyle profile, like, and dislike other user profiles. The platform enables users to chat with each other based on posts provided both like each other's profile.",Starts immediatelyImmediately,1 Month,3000 /month,3 Jul' 21,60 applicants,,,,0,
394,Work From Home,Web Development,Livyoung Realtech Enterprises,"Selected intern's day-to-day responsibilities include: 

1. Create the best Desktop applications/ Websites
2. Create and conceptualize the project
3. Work on wireframe modules to be created for each mobile apps
4. Actual Coding for Website","Java
PHP
HTML
WordPress","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",2,We are one of the best SEO and digital marketing agencies. We have clients from all across India and abroad.,Starts immediatelyImmediately,6 Months,6000 /month,7 Jul' 21,Be an early applicant,,,,0,
395,Pune,Software Testing,Cubois Technologies Private Limited,,Software Testing,"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 2 months
4.  are from Pune and neighboring cities
5. have relevant skills and interests",,1,"Website;We are into software development services and product development using technologies such as Android/iOS, React, Angular, Machine Learning/AI, IOT, AWS.",Starts immediatelyImmediately,2 Months,10000 /month,8 Jul' 21,125 applicants,1. Must have knowledge of MySQL,"Selected intern's day-to-day responsibilities include:

1. Understand the system and do extensive testing
2. Work to confirm data quality",,0,
396,Work From Home,Backend Development,CITS Worldwide,"Selected intern's day-to-day responsibilities include: 

1. Developing the back-end of complex mobile applications and websites
2. Submitting accurate work within the given deadline",LARAVEL,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",20,"We are an IT company providing IT services, including software development, mobile app development, support and maintenance, and BPO.",Starts immediatelyImmediately,3 Months,3000-8000 /month,8 Jul' 21,Be an early applicant,,,,0,
397,Vadodara,Web Development,Techicom,,"PHP
HTML
JavaScript
CodeIgniter
LARAVEL","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 27th Jun'21 and 1st Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours
 Informal dress code
 Job offer",2,"Website;Techicom since 2014 providing top-notch IT solutions across the globe. We have client presence in UK, Australia, Newzealand, USA. We provide solutions on technologies like PHP, Java, Android, Swift, etc.",Starts immediatelyImmediately,2 Months,4000 /month,12 Jul' 21,37 applicants,,,"Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 2 to 3 Lac/annum",1,"Selected intern's day-to-day responsibilities include: 

1. Analyse and test PHP codes
2. Work on projects on PHP
3. Learn new skills for working within"
398,Work From Home,Mobile App Development,Rainet Technology Private  Limited,"Selected intern's day-to-day responsibilities include:

1. Working on iOS and Android app development 
2. Working with artificial intelligence and machine learning tools & technologies
3. Working with Flutter and Firebase","Java
Python
XML
Machine Learning
Swift
Flutter
iOS
Android
Kotlin
Firebase","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours
 5 days a week",2,"Website;Started in 2018, Rainet Technology Private Limited, also known by its brand name ClicknCash, provides online transnational services like AEPS, DMT, and recharge. We have a wide experience of working with clients across industries globally. Over these years, our main focus is on helping clients in achieving their goals through their websites/portals. We are also dealing in data science and artificial intelligence with respect to different business domains.",Starts immediatelyImmediately,3 Months,2000 /month,2 Jul' 21,56 applicants,,,,0,
399,Work From Home,Internet Of Things (IoT),Schnell Labs,"Selected intern's day-to-day responsibilities include creating an IoT device with weatherproof hardware encasing, Raspberry Pi, internet dongle, CCTV, and cables.

Note: All the hardware will be provided. It will be the intern's responsibility to design and assemble the box and make it ready for proof of concept (POC). Only 1 or 2 boxes are required to be prepared as this is for POC.","Raspberry Pi
Internet of Things (IoT)","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 26th Jun'21 and 31st Jul'21
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",Flexible work hours,1,Website;We are a startup building its IoT products on machine learning and deep learning algorithms. Leveraging the AI it is helping its customers to stay competitive in the market and enabling them in there business.,Starts immediatelyImmediately,1 Month,5000 /month,10 Jul' 21,236 applicants,,,,0,
400,Delhi,Angular Development,Iraitech Innovations & Technologies Private Limited,,"Java
HTML
CSS
JavaScript
Bootstrap
PostgreSQL
Angular 7.0","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 26th Jun'21 and 31st Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 5 days a week
 Job offer",4,"Iraitech Innovations & Technologies Private Limited is a software company founded in October of 2018. The main vision behind the company has been to build innovative technologies that would bring change in people's lives and help the future generation to grow by imparting education. The word Iraitech is formed from three words - Ira which represents goddess Saraswati, AI for artificial intelligence while I individually stands for innovation, and the third-word tech which stands for technology.

Our team strongly believes that education is the right of every human being and it should be easily available, accessible, and affordable to everyone and our pledge makes this happen. With this thought, the Iraitech team has been constantly working on the Coursera initiative, which is focused on delivering education to individuals from different streams. We have collaborated with working professionals, doctors, and scientists to create the best possible content and increase their knowledge.",Starts immediatelyImmediately,6 Months,5000-10000 /month,10 Jul' 21,29 applicants,,"Selected intern's day-to-day responsibilities include:

1. Design and develop user interfaces using Angular best practices
2. Develop application codes and unit tests in Angular, Java technologies, and REST web services
3. Research, analyze, and develop product features of increasingly complex nature
4. Ensure the high performance of all systems developed
5. Assure that all user input is validated before submitting to the backend
6. Work as per the defined project priorities and project schedules and ensure to complete the assigned projects within allotted timelines",,0,
401,Delhi,Flutter Development,Kashware,,"Animation
Flutter
Dart","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 17th Jun'21 and 22nd Jul'21
3. are available for duration of 5 months
4. have relevant skills and interests",Job offer,2,"Website;Kashware is the most convenient way. Packed with unparalleled security, we simplify the way you spend, save, and manage your money. Your money is scattered! It's divided between multiple credit cards, debit cards, bank accounts, mobile wallets, cryptocurrencies, etc. The payment industry needs an aggregator that works everywhere by default! Kashware connects all these aforementioned accounts into one single card and app that work everywhere - all card machines, all QR codes, and all websites! If that's not all, it also works on all public transports nationwide - metro rails, buses, ferries, tolls, etc. Further, using our patent technologies, Kashware offers select users a cardless way to make payments. We believe in a decluttered future where the user is connected to all their money on a platform tailored for their needs, coupled with unparalleled experience, unmatched ease, and an intelligent revolutionary reward system.",Starts immediatelyImmediately,5 Months,8000-12000 /month,2 Jul' 21,53 applicants,"1. Proficient in Dart & Flutter
2. Must be good in pixel-perfect implementation of designs and UI-UX animations
3. Equipped with a strong knowledge of the Flutter framework and the ability to deal with different screen sizes
4. Comfortable with agile team environments 
5. Must be a self-starter and a conscientious member of the team","We are looking for a mobile app developer who shares our passion & experience in building best-in-class products. The candidate must work closely with design & product teams to integrate, implement & improve the UI/UX flows & features of the app. The ability to implement animations, micro-interaction & responsive gestures in the app using flutter is a must.

Selected intern's day-to-day responsibilities include:

1. Work on a disruptive product that millions of users will transact each day
2. Work on the UI/UX implementation for our app including animations, micro-interactions, gestures, etc.
3. Develop new user-facing features using Dart/Java/Kotlin/Swift framework
4. Work closely with design & product teams to integrate, implement & improve features 
5. Translate designs and wireframes into high-quality code
6. Ensure the best possible performance, quality, and responsiveness of the Kashware app",,0,
402,Work From Home,Node.js Development,Innobuzz Learning Solutions LLP,"Selected intern's day-to-day responsibilities include:

1. Handle the documentation of the ongoing projects
2. Handle the integration of user-facing elements developed by front-end developers with server-side logic
3. Write reusable, testable, and efficient code
4. Design and implement low-latency, high-availability, and performant applications
5. Work on the implementation of security and data protection
6. Handle the integration of data storage solutions","JavaScript
Node.js
Express.js
ReactJS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",2,"Website;We have centers in over 15 countries and 1 lakh students enrolled in the classroom as well as distance learning programs. Our prime focus remains on providing the best education and learning environment. The wide variety of courses are ideal for students, working professionals, and subject enthusiasts. Our online program has been a huge success in revolutionizing learning solutions. The students can learn from any time, anywhere, and even participate in constructive discussions on our forums.",Starts immediatelyImmediately,3 Months,2000 /month,14 Jul' 21,27 applicants,"1. Knowledge of MySQL, MongoDB, Node.js, Express.js, and ReactJS",,,1,
403,Work From Home,Mobile App Development,Cartel101,"Selected intern's day-to-day responsibilities include:

1. Developing/enhancing the UI of the e-commerce flutter application
2. Adding error handling in the flutter application
3. Overseeing bug fixing, testing, and integration of the backend with the application","Flutter
Dart","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 1 month
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",2,"Cartel101, by Shoprox Technologies Private Limited, is an e-commerce initiative by a group of IIT Kharagpur alumni, aimed at revolutionizing online shopping and delivery. Cartel101 focuses on modern technologies to understand customer shopping behavior and speed up delivery processes.",Starts immediatelyImmediately,1 Month,8000-10000 /month,7 Jul' 21,202 applicants,,,The full-time mobile app development intern will work closely with experts in the field of software development.,0,
404,Work From Home,Information Technology,Vandana Chordia,"Selected intern's day-to-day responsibilities include:

1. Collect and analyze data to enable decision-making and process improvement for specialty area
2. Cull moderately complex data and extrapolate trends and patterns
3. Derive conclusions and summarize actionable insight for specialty area
4. Collaborate with internal/external customers to validate conclusions/hypotheses
5. Design and prep various reports, charts, graphs to depict trends
6. Seek opportunities proactively for the IT department to deliver business value
7. Lead projects to deliver new information and technology to the business areas
8. Drive value from existing IT applications through data availability, business process improvements and other means
9. Find and act on replication opportunities between sites and functions
10. Leverage knowledge of the business, IT portfolio and architectural standards to develop and quantify business cases to provide input to the IT roadmap
11. Influence changes to IT standards to meet evolving business or industry directions",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",1,"Vandana Chordia is a federal and state-recognized lawyer with experience in criminal and civil matters. She has appeared for over 100 criminal and civil cases argued numerous appeals and evidentiary motions and has a reputation as a formidable litigator. Ms. Chordia is ranked in state court, where clients have called her an 'incredibly bright and detail-oriented lawyer' and praised her excellent judgment and analytical skills in white-collar litigation. She has also been described as a terrific trial lawyer who understands the difficulties of the world we live in and gives advice tailored to a practical approach.

The regional society has named Ms. Chordia on the list of top leading lawyers in the state. She has made a significant impact on legal practice, policy, and technological advancements.",Starts immediatelyImmediately,6 Months,5000-10000 /month,3 Jul' 21,49 applicants,,,,0,
405,Bangalore,Node.js Development,Prakshep Private Limited,,"HTML
CSS
JavaScript
Python
Node.js
Shell Scripting
REST API
ReactJS","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 28th Jun'21 and 2nd Aug'21
3. are available for duration of 3 months
4.  are from Bangalore
5. have relevant skills and interests",,2,"Facebook page;Prakshep Private Limited is a tech infrastructure company for agribusinesses. From large enterprises to startups, businesses of all sizes use Prakshep Private Limited deep learning APIs to monitor farms, machines, and people. We utilize a network of satellites, sensors, drones, people, vehicles, IoT, etc. to provide the most accurate and comprehensive data at scale in real-time and take data-driven actions. We are aiming to automate the agriculture process, and since our inception, we have been working closely with farmers to build a series of neural networks to automate tedious activities like farm surveying geofencing, route planning, zoning, acre base billing, etc.",Starts immediatelyImmediately,3 Months,5000-10000 /month,12 Jul' 21,Be an early applicant,,"Selected intern's day-to-day responsibilities include:

1. Developing and maintaining all server-side network components
2. Ensuring optimal performance of the central database and responsiveness to front-end requests
3. Collaborating with front-end developers on the integration of elements
4. Designing customer-facing UI and back-end services for various business processes
5. Developing high-performance applications by writing testable, reusable, and efficient code
6. Implementing effective security protocols, data protection measures, and storage solutions
7. Running diagnostic tests, repairing defects, and providing technical support
8. Documenting Node.js processes, including database schemas, as well as preparing reports
9. Recommending and implementing improvements to processes and technologies
10. Keeping informed of advancements in the field of Node.js development",,0,
406,Work From Home,Embedded Systems (PCB Design And Firmware),Suncov Technology Private Limited,"Selected intern's day-to-day responsibilities include: 

1. Develop own C code for an embedded system
2. Use BSP and FreeRTOS for embedded system
3. Work on ARM9 and ARM Cortex-M processors
4. Develop PCB schematic and layout
5. Work with STM, TI processors with I2C, SPI, etc. peripheral
6. Implement mathematical equations in C code","MATLAB
Embedded Systems
C Programming
PCB Design
C++ Programming","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",2,"Website;Suncov Technology Private Limited provides EPC designing services for utility-scale projects along with solar trackers for solar utility projects. The Suncov solar power system is designed for Indian conditions. Our premium solar panels combined with solar tracking technology for roof-tops are renowned for their superior quality and lifetime performance, all with very minimal maintenance required from the homeowner.",Starts immediatelyImmediately,6 Months,1000 /month +  Incentives,8 Jul' 21,110 applicants,,,"Stipend structure: This is a performance-based internship. In addition to the minimum-assured stipend, you will also be paid a performance-linked incentive (₹ 50000 per project completion).
The interns have to complete the tasks as provided with the mentor. The incentives will be provided as a one-time payment at the end of the internship. The interns would assist their mentors in the project and upon the completion of that project, the interns will earn the incentive amount. The intern can be offered a full-time opportunity after 6 months if the performance is good.",1,
407,Pune,Web Development,Cubois Technologies Private Limited,,,"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 2 months
4.  are from Pune, Solapur, Mumbai, Nagpur, Nashik and neighboring cities
5. have relevant skills and interests",,2,"Website;We are into software development services and product development using technologies such as Android/iOS, React, Angular, Machine Learning/AI, IOT, AWS.",Starts immediatelyImmediately,2 Months,10000 /month,8 Jul' 21,130 applicants,,"Selected intern's day-to-day responsibilities include:

1. Work with Angular
2. Work with the team to manage, optimize and customize multiple web applications
3. Create and maintain technical documentation
4. Write efficient code and be involved in the end-to-end software development process

INTERN to HIRE",,0,
408,Work From Home,Mobile App Development,INextMall,"Selected intern's day-to-day responsibilities include: 

1. Designing and building advanced applications for an Android platform
2. Collaborating with cross-functional teams to define, design, and ship new features
3. Handling live server databases of Firebase
4. Developing backend part with Java and core Java
5. Designing, developing, and deploying hybrid mobile app development using React Native",Android,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours",20,"INextMall is an Indian e-commerce company. It is the largest online store for mobile phones, gadgets, tools, and home appliances in India.",Starts immediatelyImmediately,1 Month,1000 /month,14 Jul' 21,82 applicants,,,,1,
409,Work From Home,Mobile App Development,Digite Infotech Private Limited,"Selected intern's day to day responsibilities include:

1. Participate in the entire application lifecycle, focusing on coding and debugging
2. Write clean code to develop functional web applications
3. Troubleshoot and debug applications
4. Perform UI tests to optimize performance
5. Manage cutting-edge technologies to improve legacy applications
6. Collaborate with back end developers to integrate user-facing elements with server-side logic
7. Gather and address technical and design requirements
8. Build reusable code and libraries for future use
9. Liaise with developers, designers, and system administrators to identify new features
10. Follow emerging technologies","Microsoft Azure
Flutter
Android
Firebase","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",1,"Website;Digite was founded in 2002 by respected Silicon Valley-based Indo-American entrepreneurs and has recently diversified its product portfolio to include agriculture technology solutions. Based in the US and India, Digite brings the latest advancements in artificial intelligence, IoT, and remote sensing to the agriculture industry. Our team has over a decade of experience building IoT and AI/ML products and solutions. Our partnerships with academic institutions and grassroots agriculture organizations in the US and India bring together a multi-disciplinary and highly-skilled team.",Starts immediatelyImmediately,6 Months,20000 /month,2 Jul' 21,28 applicants,,,,0,
410,Delhi,Web Development,BASIL,,"JavaScript
ReactJS
Firebase","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 2 months
4.  are from Delhi and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Informal dress code",1,"Basil is an early-stage startup that provides healthy, tasty meals at a pocket-friendly price to consumers. We are a team of IIT Delhi graduates (Ex BCG, Harvard) working on a food robotics startup. Our team comprises people with consultancy, engineering, and food background and are looking for app development engineers.",Starts immediatelyImmediately,2 Months,15000 /month,14 Jul' 21,Be an early applicant,,"You will be working with a team on full-stack web development customer interfaces or a healthy food startup. This will involve building the apps and then iterating based on user feedback.

Selected intern's day-to-day responsibilities include:

1. Building the frontend (React/any other popular option)
2. Building the backend (Firebase/any other popular option)
3. Working on iteration and changes to the interface

Notes:

1. Previous experience in a similar full-stack project deployed on the ground is a must
2. This position is only available to applicants staying in New Delhi
3. Letter of recommendation is dependent on speed and quality of output
4. This is a full time role. This is not a remote position.
5. We expect continuous attendance and full time commitment for 2 months. This will not work if you have any other commitments in parallel.",,0,
411,Ahmedabad,Mobile App Development,Mobioxy,,"Flutter
Dart","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours
 5 days a week",2,"We, at Mobioxy, have carved a niche in the field of mobile app development. We specialize in Native iOS, Android, and Flutter. We're small, flexible and laden with creative ideas that are just on the fingertips and are ready to take shape. We craft simple and functional mobile apps.

Our work for many reasons includes delivery within a given timeframe, since we have a hands-on and proven track record, easy-to-use code structure, and app updates as tools and technology change.",Starts immediatelyImmediately,2 Months,8000-16000 /month,14 Jul' 21,Be an early applicant,"1. Must have done BE/B.Tech, MCA, ME/M.Tech, or any other relevant course","Selected intern's day-to-day responsibilities include: 

1. Work on Flutter app with the development team to design, develop and debug flutter applications
2. Integrate with existing back-end services
3. Design and implement mobile applications, middleware, and frameworks such as SDK and develop new features and user-interface for our mobile apps and SDK
4. Work on live projects
5. Work with the team to manage, optimize and customize flutter applications",,0,
412,Pune,Backend Development,Exa Mobility India Private Limited,,"JavaScript
Cloud Computing
Python
Data Analytics
Machine Learning
Node.js
C Programming
NoSQL
C++ Programming
Internet of Things (IoT)
REST API
Amazon Web Services (AWS)
Cloud Firestore","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 20th Jun'21 and 25th Jul'21
3. are available for duration of 3 months
4.  are from Pune, Pimpri-Chinchwad and neighboring cities
5. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 Informal dress code
 Free snacks & beverages
 Job offer",3,"Website;We are a research and product development company in the field of electric vehicles and mobility as a service (MaaS) platform. Currently, we are working on intelligent electric scooters and related fleet services. We lead with a holistic approach, followed by thorough research and special emphasis on user needs, giving them easy and fluid experiences without any compromises.",Starts immediatelyImmediately,3 Months,2000-7000 /month,4 Jul' 21,Be an early applicant,,"Get ready for the most advanced project that you will get your hands on as an intern. You will be writing Lambda functions to automate things and will be deploying AI/Machine learning algorithms, functions, and applications in the backend using Node.js or Python

Selected intern's day-to-day responsibilities include:

1. Working on IoT and cloud services for electric vehicles, fleet management, and charging network
2. Working on various services of AWS and Google Cloud platform
3. Working on server-less API/apps on AWS
4. Working on AWS Lambda, AWS DynamoDB, API gateway
5. Working on IoT data pipeline, streamlining, data pre-processing for data analytics/machine learning
6. Working on DBMS and integration with APIs
7. Working on seamless interfacing with front end (mobile apps, dashboards, etc. )","Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 3 to 6 Lac/annum",0,
413,Work From Home,Manual Testing,Acropolis Infotech,"Selected intern's day-to-day responsibilities include:

1. Work on manual testing
2. Work on bug tracking",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 28th Jun'21 and 2nd Aug'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",Certificate,2,"Website;Acropolis Infotech is a fast-growing custom software development (IT) company incepted in 2016 by extensively experienced IT professionals in the same vertical. We're aiming to provide our clients with the business advantage they need. We are committed to achieving that by creating, enhancing, and maintaining the software that power clients' enterprise, empower their manpower, and captivate their customers. At Acropolis, we focus on solutions that match the clients' organizational strategy and objectives. We harness technical excellence and deep software development knowledge to make it work for our clients and the goals that they want to achieve. Our target market ranges from SMEs to the most successful global organizations, which include business tycoons, new startups, Fortune 500 companies, and stand-alone individuals with potential ideas from across the globe.",Starts immediatelyImmediately,6 Months,5000 /month,13 Jul' 21,94 applicants,"1. Background: B.Tech, BCA
2. Should have analytical skills",,,0,
414,Work From Home,Quality Assurance,Storytech,"Selected intern's day-to-day responsibilities include:

1. Writing, reviewing, and executing the test cases and preparing test plans
2. Deploying various types of testing techniques, such as functional testing, regression testing, smoke testing, exploratory testing, etc.
3. Understanding the application flow and the product features we develop
4. Setting up and updating the test environment and test data
5. Working on defect reporting and managing the defects throughout its lifecycle",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 29th Jun'21 and 3rd Aug'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours
 5 days a week",5,Website;We're a digital product agency in Hyderabad that designs and develops extraordinary experiences for mobile and other platforms. We work with exceptional entrepreneurs and brands. We don't just build apps. We create the kind of apps that people use every day. We have the experience and the knowledge required to get there.,Starts immediatelyImmediately,6 Months,1000-2000 /month,13 Jul' 21,88 applicants,,,Perks: experience certificate and a job offer (based on performance).,1,
415,Noida,PHP Development (CodeIgniter),Trozorro Consultancy Services Private Limited,,"PHP
JavaScript
CodeIgniter","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 Informal dress code",2,"Website;Trozorro Startup Solutions Private Limited provides startup solutions like legal services, tech, and innovation solutions to upcoming startups. Our company also deals with startup registration, company registration, web development, app development, and company compliance. Leaf Creations (a unit of Trozorro Startup Solutions Private Limited) is a graphic design agency operating in B2B and B2C modes delivering the best possible graphics to all clients. The company has embarked on the journey with a team who has work experience of over 3+ years and hundreds of projects which has helped many companies stand out in their domain.

Graphics designing is the art of presenting business ideas and values in the simplest way possible. Located at Delhi-NCR, at Leaf Creations, we are a team of professionals who believe that creativity should be used in presenting business ideas through visuals and not merely in making the designs attractive.",Starts immediatelyImmediately,3 Months,3000-5000 /month,8 Jul' 21,Be an early applicant,,"Selected intern's day-to-day responsibilities include:

1. Working on full-stack development (PHP/CodeIgniter 4) and developing software and projects
2. Developing database design and database optimization technologies
3. Working on HTML5, CSS3, JavaScript libraries, and Bootstrap
4. Working on REST APIs & connecting API as required",,0,
416,Work From Home,Web Development,Manish Rathor,"Selected intern's day-to-day responsibilities include: 

1. Handling email inquiries, calls, and day-to-day operations related to the profile
2. Working on website development and coordinating with current web developers. 
3. Developing suppliers and customers database",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 21st Jun'21 and 26th Jul'21
3. are available for duration of 2 months
4. have relevant skills and interests",5 days a week,1,"LinkedIn profile;Manish Rathor is an international marketing & sales professional with over 20 years of experience and a proven track record in developing new markets, business turnarounds, distributor management, fleet management, developing new business verticals right from ideation/planning till establishing as major player, and P&L management. His start-up is in incubation in the automotive B2B business space and he is looking for interns with knowledge of eCommerce.",Starts immediatelyImmediately,2 Months,12000 /month,5 Jul' 21,220 applicants,,,,0,
417,Work From Home,Mobile App Development,Beginweb Technologies,"Selected intern's day-to-day responsibilities include:

1. Working on various mobile app development projects and project management
2. Working on Android, Flutter, Ionic, Swift, and React Native development","Ionic
Flutter
React Native
Android
ReactJS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 2 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",1,"Website;We, at Beginweb Technologies, design and develop beautiful and creative IT products such as websites, custom-based mobile applications, cloud-based web applications, etc. We believe in developing an idea to its real state.",Starts immediatelyImmediately,2 Months,8000-12000 /month,2 Jul' 21,84 applicants,,,,0,
418,Work From Home,Python Development,Rivan Solutions,"Selected intern's day-to-day responsibilities include: 

1. Scraping websites using Python and BeautifulSoup/Scrapy or Selenium
2. Delivering the web scraping script within 6 to 7 hours.
3. Working with Python and Beautiful Soup to scrape and automate the websites
4. Storing data into SQL and NoSQL
5. Being regular to meetings and delivering on time
Preferred Passouts on or before 2021.","Python
SQL
JSON","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 1st Jul'21 and 5th Aug'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",2,Rivan Solutions is a web scraping and web designing company. We are based in Hyderabad but we serve the entire world.,Starts immediatelyImmediately,6 Months,1000-2000 /month,15 Jul' 21,40 applicants,,,"The script will be sent to Q/A, and if any issues occur, the intern will need to fix them and send them again. This cycle repeats till the file is signed off.",0,
419,Work From Home,ReactJs Development,Tidbeat,"Selected intern's day-to-day responsibilities include:

1. Work on ReactJS
2. Contribute to web and app development
3. Complete regular tasks that are part of technical development",ReactJS,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 22nd Jun'21 and 27th Jul'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours",15,Website;Tidbeat is a snack delivery service that provides an immense category of snacks. This petite conception is focused upon identifying the need for snack delivery and coming up with the best out of the lot. We serve a wide variety of snacks based on orders.,Starts immediatelyImmediately,2 Months,1000 /month,6 Jul' 21,94 applicants,,,,0,
